"first","cdindex","mktsize","N","M","p","cdid","obsweight","numlist","condition","localint","popular","basecond","pdif","conditiondif",
1,9,9,3758,236,4.68,1,1,9,2,1,0,4,0.13,-2,
10,24,15,,,6.95,1,1,9,3,1,0,4,2.4,-1,
25,44,20,,,10.55,1,1,9,4,1,0,4,6,0,
45,48,4,,,12.8,1,1,9,3,1,0,4,8.25,-1,
49,60,12,,,7.94,1,1,9,5,1,0,4,3.39,1,
61,106,46,,,4.72,1,1,9,4,1,0,4,0.17,0,
107,150,44,,,9.84,1,1,9,3,1,0,4,5.29,-1,
151,163,13,,,4.94,1,1,9,3,1,0,4,0.39,-1,
164,177,14,,,4.55,1,1,9,4,1,0,4,0,0,
178,201,24,,,14,2,1,15,4,1,0,4,8.55,0,
202,213,12,,,10,2,1,15,4,1,0,4,4.55,0,
214,238,25,,,22,2,1,15,5,1,0,4,16.55,1,
239,276,38,,,8.5,2,1,15,4,1,0,4,3.05,0,
277,284,8,,,14,2,1,15,4,1,0,4,8.55,0,
285,291,7,,,8.45,2,1,15,3,1,0,4,3,-1,
292,305,14,,,14.45,2,1,15,4,1,0,4,9,0,
306,312,7,,,6.99,2,1,15,4,1,0,4,1.54,0,
313,317,5,,,17,2,1,15,4,1,0,4,11.55,0,
318,324,7,,,5.45,2,1,15,4,1,0,4,0,0,
325,352,28,,,15,2,1,15,4,1,0,4,9.55,0,
353,375,23,,,18,2,1,15,4,1,0,4,12.55,0,
376,385,10,,,23,2,1,15,5,1,0,4,17.55,1,
386,388,3,,,12.5,2,1,15,5,1,0,4,7.05,1,
389,399,11,,,12,2,1,15,4,1,0,4,6.55,0,
400,401,2,,,15,3,1,20,5,1,0,5,12.5,0,
402,408,7,,,11.95,3,1,20,4,1,0,5,9.45,-1,
409,441,33,,,12.55,3,1,20,4,1,0,5,10.05,-1,
442,477,36,,,9,3,1,20,6,1,0,5,6.5,1,
478,485,8,,,7.95,3,1,20,4,1,0,5,5.45,-1,
486,487,2,,,5.85,3,1,20,6,1,0,5,3.35,1,
488,506,19,,,9.75,3,1,20,5,1,0,5,7.25,0,
507,543,37,,,3.99,3,1,20,5,1,0,5,1.49,0,
544,568,25,,,9.25,3,1,20,5,1,0,5,6.75,0,
569,581,13,,,4.7,3,1,20,4,1,0,5,2.2,-1,
582,583,2,,,5.5,3,1,20,5,1,0,5,3,0,
584,598,15,,,2.5,3,1,20,5,1,0,5,0,0,
599,611,13,,,22,3,1,20,6,1,0,5,19.5,1,
612,640,29,,,10.6,3,1,20,5,1,0,5,8.1,0,
641,650,10,,,14.8,3,1,20,5,1,0,5,12.3,0,
651,652,2,,,11.76,3,1,20,5,1,0,5,9.26,0,
653,654,2,,,5.5,3,1,20,5,1,0,5,3,0,
655,661,7,,,16,3,1,20,5,1,0,5,13.5,0,
662,663,2,,,9,3,1,20,5,1,0,5,6.5,0,
664,686,23,,,19.05,3,1,20,6,1,0,5,16.55,1,
687,710,24,,,26.99,4,1,4,4,1,0,4,10.02,0,
711,713,3,,,26.5,4,1,4,5,1,0,4,9.53,1,
714,726,13,,,26,4,1,4,4,1,0,4,9.03,0,
727,742,16,,,16.97,4,1,4,4,1,0,4,0,0,
743,758,16,,,14.79,6,1,12,6,1,0,3,11.84,3,
