"first","cdindex","mktsize","N","M","p","cdid","obsweight","numlist","condition","localint","popular","basecond","pdif","conditiondif","disappear",
1,5,5,4229,236,1.95,1,1,9,2,1,0,2,0,0,0,
6,22,17,,,13.5,1,1,9,6,1,0,2,11.55,4,0,
23,32,10,,,6,1,1,9,3,1,0,2,4.05,1,0.5,
33,37,5,,,7.46,1,1,9,4,1,0,2,5.51,2,1,
38,55,18,,,10.65,1,1,9,4,1,0,2,8.7,2,0,
56,201,146,,,17,2,1,15,4,1,0,4,11.55,0,0,
202,282,81,,,12.5,2,1,15,5,1,0,4,7.05,1,0,
283,296,14,,,6.5,2,1,15,5,1,0,4,1.05,1,0,
297,316,20,,,12.5,2,1,15,4,1,0,4,7.05,0,0,
317,334,18,,,23,2,1,15,5,1,0,4,17.55,1,0,
335,354,20,,,12,2,1,15,4,1,0,4,6.55,0,0,
355,370,16,,,12,2,1,15,4,1,0,4,6.55,0,0,
371,397,27,,,17,2,1,15,4,1,0,4,11.55,0,0.5,
398,411,14,,,5.45,2,1,15,4,1,0,4,0,0,0,
412,419,8,,,11.99,2,1,15,6,1,0,4,6.54,2,0,
420,436,17,,,9.5,2,1,15,4,1,0,4,4.05,0,0,
437,443,7,,,14.49,2,1,15,4,1,0,4,9.04,0,0,
444,445,2,,,13.95,2,1,15,4,1,0,4,8.5,0,0.5,
446,451,6,,,16.95,2,1,15,4,1,0,4,11.5,0,0.5,
452,477,26,,,21.95,2,1,15,5,1,0,4,16.5,1,0,
478,504,27,,,9.5,2,1,15,4,1,0,4,4.05,0,0,
505,513,9,,,18,2,1,15,4,1,0,4,12.55,0,0,
514,618,105,,,9.94,3,1,20,5,1,0,4,6.95,1,0,
619,626,8,,,9.35,3,1,20,5,1,0,4,6.36,1,0,
627,628,2,,,2.99,3,1,20,4,1,0,4,0,0,0,
629,638,10,,,6.2,3,1,20,4,1,0,4,3.21,0,0,
639,667,29,,,10.6,3,1,20,4,1,0,4,7.61,0,0,
668,704,37,,,13.01,3,1,20,4,1,0,4,10.02,0,0.5,
705,710,6,,,9.99,3,1,20,5,1,0,4,7,1,0,
711,712,2,,,7.95,3,1,20,5,1,0,4,4.96,1,0,
713,733,21,,,16,3,1,20,5,1,0,4,13.01,1,0,
734,762,29,,,10.62,3,1,20,7,1,0,4,7.63,3,0,
763,776,14,,,26.5,4,1,4,5,1,0,5,5.5,0,0,
